NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
ABULON CON PICO DE GALLO DE MANDARINA|BAJA CALIFORNIA SUR|2|4|3|0|0|0|2|3|ABULON, PICO DE GALLO, MANDARINA, CHILE SERRANO|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|LIMON, ACEITE DE OLIVA, YOGUR, CILANTRO, ALBAHACA, PEREJIL, SAL|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|LIMON, ACEITE DE OLIVA, YOGUR, CHILE CUARESMEÑO, CILANTRO, SAL, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|LIMON, ACEITE DE OLIVA, YOGUR, PIÑA, CEBOLLIN, SAL, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|CHILE ANCHO, CHILE GUAJILLO, AJO, CEBOLLA, VINAGRE DE YEMA, PIMIENTA, CANELA, OREGANO, SAL, ACEITE|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|CHILE CHILACA, AJO, TOMATE VERDE, COMINO, CREMA, SAL|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|CHILE MORITA, CEBOLLA, VINAGRE BLANCO, LAUREL, MEJORANA, TOMILLO, SAL, ACEITE|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|CHILE ANCHO, CHILE CASCABEL, CEBOLLA, CHILE POBLANO, TOMATE VERDE, PIMIENTA, OREGANO, SAL, ACEITE|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|CHILE BLANCO, AGUA, HIERBABUENA, LIMON, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|CHIA, AGUA, CHAYA, LIMON, AZUCAR|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas
AGUA FRESCA CON ALMENDRA DE MAMEY|PUEBLA|32|25|0|0|0|0|1|1|MAMEY, AGUA, AZUCAR|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|AGUACATE, LIMON, QUESO PANELA, CHICHARO, JITOMATE, MAYONESA, LECHUGA, SAL, PIMIENTA|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|CHICHARRON, CARNE MOLIDA, HUEVO, CILANTRO, AJO, CEBOLLA, HIERBABUENA, PIMIENTA, JITOMATE, CHILE CHIPOTLE, ACEITE, ARROZ, SAL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|ATUN, PESCADO, ARROZ, HUEVO, AMARANTO, AJO, OREGANO, CILANTRO, HIERBABUENA, PIMIENTO MORRON, CALDO DE PESCADO, SAL, PIMIENTA|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ALCACHOFA, MANTEQUILLA, LIMON, ACEITE, CEBOLLA, OSTION, CREMA, CHILE CHIPOTLE, QUESO GRUYERE, SAL, CEBOLLIN|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|PILONCILLO, MIEL, LIMON, AMARANTO, PASA, NUEZ|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|TEQUILA, LAUREL, TOMILLO, MEJORANA, AJO, RANA, MANTEQUILLA, ACEITE DE OLIVA, CEBOLLA, JITOMATE, TOMATE, CHILE SERRANO, CHAYOTE, ZANAHORIA, CALABAZA, PAPA, SAL, PIMIENTA|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|JEREZ, PASA, ACITRON, BIZCOCHO, LECHE, CAJETA DE LECHE, NUEZ, PIÑON|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
AREQUIPA DE PIÑA Y ALMENDRAS|MICHOACAN|8|10|45|0|0|0|1|2|HARINA DE ARROZ, LECHE, PIÑA, ALMENDRA, AZUCAR, ALMENDRA|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|GUAJE, XOCONOSTLE, CHILE SERRANO, JITOMATE, SAL, ARRACHERA, ACEITE DE CHILE, PIÑA, NOPAL, CEBOLLA, ACEITE DE OLIVA, OREGANO, CHORIZO VERDE, CHORIZO, AGUACATE, SAL, TORTILLA DE HARINA|PLATOS PRINCIPALES CON CARNE ROJA|Revolución Mexicana (1910 - 1940)|Carnes
ARROCES MEXICANOS: BLANCO, VERDE Y ROJO|VERACRUZ|10|10|20|30|0|0|2|1|ARROZ, ACEITE, CALDO DE POLLO, SAL, AJO, CEBOLLA, CHILE CUARESMEÑO, PEREJIL, CILANTRO, CHILE POBLANO, JITOMATE, ZANAHORIA, CHICHARO|GUARNICIONES|Conquista y Virreinato (1521 – 1821)|Arroces
ARROZ A LA TUMBADA|VERACRUZ|8|20|100|15|0|0|3|3|ARROZ, ROBALO, CEBOLLA, AJO, TOMILLO, MEJORANA, ACEITE DE OLIVA, JITOMATE, CAMARON, LANGOSTINO, JAIBA, PULPO, ALMEJA, CHILE JALAPEÑO, EPAZOTE, SAL, PIMIENTA|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Arroces
ARROZ CON LECHE Y FRUTA|CIUDAD DE MEXICO|8|20|50|0|0|0|1|1|ARROZ, LECHE, VAINILLA, AZUCAR, HUEVO, CREMA, AZUCAR, FRUTA EN ALMIBAR|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|CERDO, CEBOLLA, AJO, CERDO, CHILE ANCHO, TOMATE VERDE, BOLILLO, TORTILLA DE MAIZ, COMINO, CHOCOLATE, LAUREL, OREGANO, NARANJA, SAL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ASADO DE BODA JEREZANO|ZACATECAS|8|120|60|0|0|0|2|2|ACEITE, CERDO, CHILE ANCHO, PIMIENTA, CLAVO, CANELA, NARANJA, LAUREL, BAGUETTE, CALDO DE CERDO, CHOCOLATE, PILONCILLO, CEBOLLA, SAL, TORTILLA DE MAIZ|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
