NOMBRE DEL PLATILLO|ORIGEN_Platillo|RENDIMIENTO (PERSONAS)_Platillo|PREPARACIÓN (MIN)_Platillo|COCCIÓN (MIN)_Platillo|REPOSO (MIN)_Platillo|REFRIGERACIÓN (MIN)_Platillo|CONGELACIÓN (MIN)_Platillo|DIFICULTAD_Platillo|COSTO_Platillo|TIPO_Platillo|Epoca_Platillo|Categoría_Platillo|Ingrediente|num_Platillos|Categoría_Ingrediente|Epoca_Ingrediente|Origen_Ingrediente|Destino_Ingrediente|Estado_Ingrediente|Cultura_prehispánica_Ingrediente|Nota_cultural_Ingrediente
TEJAS DE PEPITA|AGUASCALIENTES|8|10|5|60|0|0|2|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|AZUCAR|103|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Cultivo traído por los españoles; el azúcar impulsó el desarrollo de haciendas.
TEJAS DE PEPITA|AGUASCALIENTES|8|10|5|60|0|0|2|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|MANTEQUILLA|57|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Era producto de lujo; en el siglo XX se popularizó con los refrigeradores.
TEJAS DE PEPITA|AGUASCALIENTES|8|10|5|60|0|0|2|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|HUEVO|76|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|El huevo de gallina no existía en América antes de la Conquista.
TEJAS DE PEPITA|AGUASCALIENTES|8|10|5|60|0|0|2|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|CALABAZA|47|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Se usaban la pulpa, las semillas y hasta las cáscaras como utensilios.
TEJAS DE PEPITA|AGUASCALIENTES|8|10|5|60|0|0|2|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|HARINA|11|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Fue impuesta para sustituir al maíz en panaderías de elite.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|AJONJOLI|21|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Traído en la Colonia. Hoy se espolvorea sobre moles y panes dulces.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|CHILE CHIPOTLE|21|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Jalapeño seco y ahumado; su sabor recuerda a la leña y tierra.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|CILANTRO|65|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Grecia|Veracruz|Veracruz|Grecia|Los mexicas no lo conocieron; se popularizó mucho después.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|HIERBAS SECAS|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Mezcla variable; muchas hierbas antiguas eran consideradas sagradas.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|ATUN|3|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Japón|Baja California|Baja California|Japón|Ensenada lo convirtió en sashimi y conserva industrial.
