NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|TIPO|Epoca|Categoría |Ingrediente
ABULON CON PICO DE GALLO DE MANDARINA|BAJA CALIFORNIA SUR|2|4|3|0|0|0|2|3|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|ABULON
ABULON CON PICO DE GALLO DE MANDARINA|BAJA CALIFORNIA SUR|2|4|3|0|0|0|2|3|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|PICO DE GALLO
ABULON CON PICO DE GALLO DE MANDARINA|BAJA CALIFORNIA SUR|2|4|3|0|0|0|2|3|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|MANDARINA
ABULON CON PICO DE GALLO DE MANDARINA|BAJA CALIFORNIA SUR|2|4|3|0|0|0|2|3|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|CHILE SERRANO
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|LIMON
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|ACEITE DE OLIVA
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|YOGUR
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|CILANTRO
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|ALBAHACA
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|PEREJIL
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|SAL
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|LIMON
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|ACEITE DE OLIVA
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|YOGUR
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|CHILE CUARESMEÑO
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|CILANTRO
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|SAL
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|PIMIENTA
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|LIMON
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|ACEITE DE OLIVA
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|YOGUR
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|PIÑA
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|CEBOLLIN
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|SAL
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos|PIMIENTA
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE ANCHO
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE GUAJILLO
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|AJO
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CEBOLLA
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|VINAGRE DE YEMA
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|PIMIENTA
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CANELA
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|OREGANO
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|SAL
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|ACEITE
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE CHILACA
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|AJO
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|TOMATE VERDE
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|COMINO
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CREMA
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|SAL
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE MORITA
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CEBOLLA
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|VINAGRE BLANCO
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|LAUREL
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|MEJORANA
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|TOMILLO
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|SAL
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|ACEITE
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE ANCHO
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE CASCABEL
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CEBOLLA
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|CHILE POBLANO
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|TOMATE VERDE
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|PIMIENTA
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|OREGANO
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|SAL
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos|ACEITE
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas|CHILE BLANCO
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas|AGUA
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas|HIERBABUENA
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas|LIMON
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas|SAL
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|CHIA
